Factor,Ticker,Close
2.254949358836363e-06,LIQUID,999.99
9.566893834768055e-06,ABSLLIQUID,1000.0
9.785491995860397e-06,LIQUIDSBI,1000.01
0.0001470681792179872,LIQUID1,1009.71
0.00015644306071119666,LIQUIDADD,1031.98
0.00018544367028046737,LIQUIDCASE,104.45
0.006376829778597144,CONSUMBEES,143.44
0.007434149974669975,CONSUMIETF,132.99
0.008315121169765799,HEALTHIETF,149.45
0.009013527207943971,TNIDETF,99.33
0.009487399424442227,BANKETF,546.46
0.010090078097858625,HDFCSML250,186.8
0.01027370190869633,CIGNITITEC,1390.1
0.01100835915577793,MAKEINDIA,155.66
0.011254326286155822,AUTOBEES,273.05
0.011352185264537216,PGHL,5225.7
0.011638858663279832,RELAXO,822.05
0.011676872506463837,COMMOIETF,95.68
0.011960662163099767,MON100,160.92
0.012025548976731889,MAFANG,93.95
0.012452871670150956,INFRAIETF,97.72
0.012872693299503428,UNIPARTS,486.0
0.013489370376373946,SFL,921.95
0.013757238466357236,MOVALUE,107.54
0.013806444930944352,VIDHIING,445.75
0.013830866924214645,FEDFINA,120.69
0.013942721328646171,SILVERTUC,747.95
0.01400260224085921,NEXT50,780.18
0.015034625098258935,MASFIN,300.15
0.01513413775135961,AXISILVER,88.21
0.015327363695227515,SILVER,88.89
0.015348418086792623,MOLDTKPAC,769.4
0.015357487374750775,HPAL,95.06
0.015414077356514573,SILVERIETF,88.75
0.015490919627511347,KESORAMIND,225.95
0.015571804403851636,SILVERETF,86.33
0.015744177036482995,SIS,414.9
0.015792573880292274,INDOCO,375.5
0.01580563462849448,SILVER1,86.36
0.01581927043117825,HEIDELBERG,223.81
0.015925942177922443,HDFCSILVER,85.54
0.016069972153601904,SILVERBEES,85.35
0.016121729240524164,AKZOINDIA,3681.3
0.01629054550444041,MOREALTY,112.75
0.01637382453366694,ICRA,7191.8
0.01639725737439103,TTKPRESTIG,890.2
0.016594415697622964,PFIZER,5548.5
0.016996902308853992,DREAMFOLKS,490.9
0.01705469430847895,ROSSARI,936.3
0.01709487861699782,SULA,486.55
0.017261473911133335,EXPLEOSOL,1317.5
0.017292174121251957,SINTERCOM,150.03
0.017366815560389093,CONTROLPR,811.3
0.017384803433762162,AUTOAXLES,1909.0
0.017516634358683652,CARERATING,1024.75
0.017592221017015575,MAHSCOOTER,12186.75
0.017618504630849064,HCG,412.7
0.017627655031564812,SWARAJENG,3298.2
0.017707133527395575,BAJAJELEC,981.15
0.017711465217326538,RADIANTCMS,79.85
0.017746522685544983,MUTHOOTMF,229.56
0.01788935576682819,SIYSIL,486.0
0.01791129747609571,KKCL,679.9
0.017917572598155535,HLEGLAS,399.25
0.017956869283736434,HNDFDS,662.6
0.01796658423594011,HIL,2916.9
0.018243373280846843,DECCANCE,616.6
0.01851636723778804,GOCOLORS,1298.8
0.018522132724846794,GANDHITUBE,812.9
0.01873617030617821,SPANDANA,592.3
0.018794670670645993,TTKHLTCARE,1678.35
0.018851564150605626,CHOICEIN,464.2
0.018959137309725187,CAPITALSFB,298.25
0.01909231110802566,GREENPANEL,389.7
0.019094310318582754,LAOPALA,371.25
0.019216627313849502,JLHL,1398.65
0.019290314192179508,GATEWAY,93.97
0.019314412430056615,LAXMIMACH,16431.5
0.01934671681522054,KTKBANK,240.51
0.019407780850216005,AARTIDRUGS,532.3
0.019429910619079636,SHREDIGCEM,98.11
0.01944003435565432,NIITMTS,517.35
0.01953997735759527,SANSERA,1696.45
0.019573824225104404,DIVGIITTS,599.75
0.01958168302164155,CMSINFO,570.7
0.01963905242922178,VALIANTORG,427.8
0.019640237472623157,SAMHI,210.26
0.019647136320308563,REDTAPE,740.2
0.019683630138955455,VINATIORGA,1935.3
0.019709484323474094,GNA,464.1
0.01972071217393484,RUCHIRA,133.36
0.01972304182769305,GTPL,165.48
0.019731472216612755,SHANTIGEAR,614.6
0.01991988909419677,SESHAPAPER,348.75
0.01994032516055505,TNPL,214.05
0.020010704215657982,LINCOLN,714.75
0.020026957586538587,BAJAJCON,253.65
0.020045353561285038,YATRA,133.7
0.020112886391332435,SHANKARA,560.45
0.020117031947366634,TCI,1102.95
0.0201837958796528,REMSONSIND,199.39
0.020237172293530427,CHEMCON,279.9
0.020307201319538618,JSWHL,8292.45
0.020324909301522965,WSTCSTPAPR,622.1
0.020359133512753494,TATVA,1001.95
0.020369468701614546,FLAIR,313.95
0.020385338214669566,DCBBANK,121.13
0.02044858543301129,APOLLOPIPE,598.8
0.02048748521680611,NESCO,973.45
0.020527627569170842,WONDERLA,899.7
0.020634932558225405,XPROINDIA,1143.45
0.02063785941032122,RAJRATAN,574.75
0.020643338362143455,PRICOLLTD,487.75
0.020649075764096112,SATIN,204.03
0.020650118988159858,FMGOETZE,450.6
0.020700640827482044,NILKAMAL,1923.1
0.020774470644391935,ZYDUSWELL,2080.3
0.02091220176686128,RUSTOMJEE,737.8
0.020932376877903263,SATIA,117.77
0.020933232368418646,DHAMPURSUG,215.3
0.020948462434323856,NAHARCAP,318.8
0.020991245908921354,LUMAXIND,2781.75
0.021000769672887616,ACCELYA,1854.15
0.02100945019015539,PVSL,221.32
0.02102200997229114,IKIO,297.4
0.02104512384210686,INGERRAND,4057.5
0.021071588348466334,YATHARTH,572.95
0.0210782855282647,TVSHLTD,14027.05
0.02110946838524894,AJMERA,705.55
0.02114646310610006,LGBBROSLTD,1366.8
0.02116055528867819,ARVINDFASN,608.05
0.02118981922961571,MAHLOG,506.1
0.02119637352604418,SSWL,209.98
0.02127243756819546,KSOLVES,1026.0
